UFID,Set,Year,Project,LoadSlope,AvgShortLength,SWGarea,AngusGBC,BrahmanGBC
100117,1,2016,Semin,24.5197863,15.0326,NA,0.738738,0.261262
100118,1,2016,Semin,12.2909833,6.0642,NA,0.708677,0.291323
100119,1,2016,Semin,31.6498002,11.9318,NA,0.67869,0.32131
100120,1,2016,Semin,16.1461653,9.3366,NA,0.650412,0.349588
100121,1,2016,Semin,15.5139984,6.5032,NA,0.632892,0.367108
100122,1,2016,Semin,20.022074,7.98,NA,0.78791,0.21209
100123,1,2016,Semin,26.4577407,10.4122,NA,0.671233,0.328767
100124,1,2016,Semin,32.2612404,8.6806,NA,0.74211,0.25789
100125,1,2016,Semin,38.0958303,9.029,NA,0.716783,0.283217
100126,1,2016,Semin,12.2806199,5.3408,NA,0.415788,0.584212
100127,1,2016,Semin,20.6646044,8.3402,NA,0.714907,0.285093
100128,1,2016,Semin,18.0841197,3.6278,NA,0.634945,0.365055
100129,1,2016,Semin,27.7842549,6.067,NA,0.728125,0.271875
100130,1,2016,Semin,20.0428008,6.5476,NA,0.606602,0.393398
100131,1,2016,Semin,14.2082109,7.9776,NA,0.758304,0.241696
100132,1,2016,Semin,18.7473768,9.8504,NA,0.757536,0.242464
100133,1,2016,Semin,23.9083462,10.5266,NA,0.825682,0.174318
100134,1,2016,Semin,21.3071347,5.27,NA,0.625056,0.374944
100135,1,2016,Semin,23.2554524,9.6428,NA,0.704107,0.295893
100136,1,2016,Semin,12.2806199,3.8204,NA,0.278586,0.721414
100137,1,2016,Semin,18.7473768,7.029,NA,0.66448,0.33552
100138,1,2016,Semin,35.5049822,7.4578,NA,0.737302,0.262698
100139,1,2016,Semin,40.0234213,7.5796,NA,0.822892,0.177108
100140,1,2016,Semin,25.17268,10.1034,NA,0.722379,0.277621
100141,1,2016,Semin,25.1830434,10.5744,NA,0.76248,0.23752
100142,1,2016,Semin,NA,7.7346,NA,0.76978,0.23022
100143,1,2016,Semin,17.4415893,11.124,NA,0.683915,0.316085
100144,1,2016,Semin,31.6394369,8.876,NA,0.744457,0.255543
100145,1,2016,Semin,31.7016172,6.5568,NA,0.697929,0.302071
100146,1,2016,Semin,17.4415893,8.441,NA,0.740181,0.259819
100147,1,2016,Semin,16.799059,6.6864,NA,0.741917,0.258083
100148,1,2016,Semin,33.5670278,6.1652,NA,0.765796,0.234204
100149,1,2016,Semin,42.6349961,6.598,NA,0.748342,0.251658
100150,1,2016,Semin,29.7325727,8.7166,NA,0.759627,0.240373
100151,1,2016,Semin,18.72665,11.9104,NA,0.789284,0.210716
100152,1,2016,Semin,16.8094224,11.3016,NA,0.739051,0.260949
100153,1,2016,Semin,29.0796789,6.0392,NA,0.687122,0.312878
100154,1,2016,Semin,44.5418603,9.6014,NA,0.85259,0.14741
100155,1,2016,Semin,25.1312265,11.468,NA,0.946031,0.053969
